Date,TCS,INFY,WIPRO,HDFCBANK,ICICIBANK,SBIN,RELIANCE,LT,HINDUNILVR,ITC,MARUTI,SUNPHARMA,BHARTIARTL,TATASTEEL
2016-02-16,7262643,15720005,4552905,10167681,30001339,8536947,60763465,6874712,20515703,21452128,16063139,5364171,47022708,18489496
2016-02-17,331180,21832884,7810336,3510823,28176028,9993897,38145418,25517597,19419199,12931331,35601269,3164858,97636431,15306135
2016-02-18,4478073,30245147,10043747,4909561,24912016,10756304,58721047,13417358,12692750,13556895,41597295,7535570,19552409,14814818
2016-02-19,4678533,28611324,10111140,4882144,30076467,12147261,68532017,13909758,15711853,8429597,28737025,12351469,16922527,4527801
2016-02-22,7827166,10988699,9064262,3156036,30329914,10452340,31580181,8360110,16341066,18514414,12002591,1482564,51422391,4276729
2016-02-23,14823610,12659383,8246809,7601651,13028329,11643576,40375595,49127220,18344902,21564931,75431578,979447,12939510,11763336
2016-02-24,5019917,27462512,7248006,6093400,21638825,9406195,51733881,23173087,31937078,13926215,30862275,4966159,34113094,2793762
2016-02-25,10191587,19137044,5570885,7922643,38901656,10483091,37185549,39777886,3819552,7757773,12672585,1990778,34274860,7323623
2016-02-26,9876498,25122539,14846772,100000,28016165,2184577,34254745,44484686,8845917,11492734,22522446,5947143,62596720,15753819
2016-02-29,1971292,23036002,12316192,7797077,37403428,615276,58104049,2976407,15339553,4224966,39072673,6373906,54393040,17230019
2016-03-01,9821530,18802012,10489465,5529012,27504916,14070536,75870888,32585150,18867791,23827834,33648993,3796514,44354011,12915854
2016-03-02,3809744,28521632,3516056,6352724,21424142,9401718,34959703,100000,15630632,6501686,11009508,100000,67210539,11756286
2016-03-03,5909707,6492467,3319673,4797115,45336494,15444452,30814622,51865656,7905519,15997261,42471473,8308656,44057279,16488475
2016-03-04,12637641,19001553,7992076,3266166,39639235,14761686,28632084,31220422,18982936,15230080,15286435,12914181,93580618,9173094
2016-03-07,7402532,8391359,6037283,6171294,28369067,10427127,47030809,38150213,17810158,3719375,51123524,5850258,51561351,4713949
2016-03-08,3991625,18467569,3495147,3697101,41622779,11836498,82374199,27898455,17148484,18389430,44024224,9220961,86387490,12017595
2016-03-09,7192981,19254330,8546413,5193225,39304083,17024577,39446822,24752532,10940099,29475866,31312773,4927718,56695865,10648986
2016-03-10,1384566,20865621,472485,5740120,21416159,12289771,81870980,19490421,18939684,15040288,96908633,6296700,63389959,6525207
2016-03-11,9006661,23437766,7752061,5091308,32473361,12465274,37340902,37371165,24380440,11562858,26478072,10043020,100000,21616072
2016-03-14,3989578,20122912,10192024,3870380,35647717,1530550,16985635,50497257,21721472,5129038,34640605,6614603,35945833,14821538
2016-03-15,100000,10845295,10060278,7681721,37315487,11894382,91319058,31659529,6610077,21486084,65682899,13774275,55390848,4777765
2016-03-16,4823118,14069477,790531,2755204,56380347,23261437,45797959,25780519,7945184,4411685,51533220,8427380,36020318,14533065
2016-03-17,4370492,19675650,598815,2167352,39661800,12543057,72583268,42173242,20988705,16475890,20309213,100000,60550565,10727913
2016-03-18,7349878,15581919,7259326,899213,39851349,18609112,69519951,54762220,10676648,10426289,43982662,9321099,9415907,19201696
2016-03-21,2490183,12091786,5559363,100000,13708113,13836228,65147831,35746543,5801998,15422584,55374772,3312523,33761733,22752613
2016-03-22,6908145,19756538,3179490,4744245,69788820,9570771,43654434,1230235,10828105,21162460,100000,7556452,13260360,2182417
2016-03-23,3880807,24276581,100000,4245470,10679858,12384807,59760424,14047843,10052652,11922646,29599491,11417987,49030496,13039630
2016-03-24,5675866,29666637,4539856,100000,21708421,22684530,43308102,6003045,13218705,17654412,70461272,3567801,69819061,7147800
2016-03-25,9019308,31000708,7709036,5345182,22349851,23208752,14952344,29933639,13844959,6009717,24241786,12098176,87572188,100000
2016-03-28,9115149,17016661,7163606,7196742,25272896,11577767,40305427,3304200,1702850,3448834,64213453,8342774,85295573,23189837
2016-03-29,9634583,32015181,3235853,3684014,16840816,4580685,68983346,27546284,17067553,3308565,22965002,2532396,70900339,12322983
2016-03-30,3642312,17650862,4049983,4985316,5693794,16621472,75495559,49861802,18934533,13459075,40849401,6087693,58101475,15625642
2016-03-31,6756841,44023035,6737563,6380361,47682135,15325019,75590475,24339140,16391911,34888389,38364005,9244153,14729681,8452855
2016-04-01,6883419,19795116,4755218,3645211,22262799,14255512,48877702,8991102,19589054,5441108,23422166,4262065,98999775,13358494
2016-04-04,9566148,17418746,9432079,4920108,100000,9987395,80507059,28314684,19340048,100000,4544785,3095496,68128536,13421575
2016-04-05,4918337,15489005,10394259,6412904,25709182,2643528,25200535,23671138,5796227,7938760,52096154,879436,56116941,9333286
2016-04-06,1503125,9930781,9964092,5004700,36660861,6386445,114783375,7958046,15121838,2708874,25988917,5132609,54289481,13219996
2016-04-07,8379700,38637311,3680554,5808105,6064120,8482825,48550688,16489643,17707267,7129351,74304128,8679884,82386879,31143411
2016-04-08,9826994,31005879,9477710,5552457,39268718,15228230,51573094,31602041,17632572,6488036,31479797,6192249,19877540,7447508
2016-04-11,6815744,32310128,9581443,6586847,34722219,4173762,19693661,35403075,26091481,9350738,34303098,7225847,39904567,11441299
2016-04-12,2668183,30512626,14158928,1185478,16940049,12972908,37689081,27995969,18414656,21088815,45550039,5437958,100000,22696014
2016-04-13,12252173,30487933,16141588,5666144,34277148,100000,66758518,41312109,15818142,100000,22900555,3520457,20080820,12338075
2016-04-14,6236453,35542159,13159607,6467574,54369718,25000051,62008803,38471946,21886551,14568807,36280266,8684166,96951250,586618
2016-04-15,3942186,16975862,6263928,6045628,30834866,15655511,13991280,29325816,22249494,15240069,6566274,9504303,53917505,11650491
2016-04-18,9110644,12871630,4988141,8893879,22515954,8592505,56931726,21904172,15784132,13361437,53272328,4441784,29002857,100000
2016-04-19,10779498,26131008,7307047,2645631,17651978,14580650,8136816,28347463,25353587,14597207,8244928,8721773,50896520,9658400
2016-04-20,1156956,26023043,5800501,4676327,57201713,7582121,79558788,12460205,16691047,8149285,52924684,5790379,75423010,15977792
2016-04-21,7463847,25036156,16627456,9837093,26862457,9722026,79898806,36927683,11394342,6539586,30811735,4050978,54066818,8601456
2016-04-22,9698515,20848942,12003448,7480672,26425060,5392398,23860125,19313965,22412730,14075312,24632364,12278503,71002729,15959210
2016-04-25,5576763,14853713,10652838,3116940,43193180,18354924,54533168,22258006,9880327,17419758,28548512,7410118,19608978,9928058
2016-04-26,6317737,23049460,11385090,4312313,38564680,15607949,14487463,18400976,26405943,17011602,45246684,9372471,78048867,19810433
2016-04-27,5501614,14004565,13691197,3306950,9322468,16760616,38280592,24496325,11669100,17098200,44629334,7845738,95304854,16042642
2016-04-28,10398229,11893974,10633550,2490024,33047916,21018431,55461656,7544648,7701021,12393143,29073266,4374971,15278116,10825444
2016-04-29,2636530,23948212,7346725,2197237,22664827,16436694,51838921,14794089,9446498,15791100,21557360,7311602,66488335,6354970
2016-05-02,5124832,12541731,11136604,4774609,47663793,4706474,56926875,38596847,21250006,31457407,14818713,11977657,72341051,7647565
2016-05-03,12203223,29829100,11102518,2944236,12729232,8700222,53720255,49887880,10342526,17227197,100000,6169216,60367984,14675274
2016-05-04,4057373,9496556,3585506,7923578,41897540,8940927,58234982,27505027,9419455,21996337,59708720,3102972,53558607,14352495
2016-05-05,1349106,29048604,17873311,5104673,581229,8063003,33917042,57954565,12527177,14174061,42426373,6591720,18259197,16939039
2016-05-06,5851583,3999709,5631018,4679278,39714962,8800496,44852282,23233353,100000,18869571,59915381,10352604,42826292,15476722
2016-05-09,9059541,10081629,14386723,6617831,41606565,6271207,50254154,42867549,24887137,13972462,55228290,9891668,53349397,18488189
2016-05-10,5771866,37240699,7470645,5144831,16491993,23598338,44913338,16824642,4213135,6841584,55798253,4323961,113067621,7611286
2016-05-11,4453976,34749013,12829205,6685677,42978843,11083483,115934498,26041155,24017017,21698734,28028672,10853507,20222374,12708282
2016-05-12,7355797,8373564,8341360,4846651,28108637,14090120,51551216,29118388,24261038,20401649,39696264,10564658,80292160,14936850
2016-05-13,13207171,21294388,2261044,3139025,100000,15593644,15283023,4199605,19819733,14376559,18654039,9723403,64200728,8961319
2016-05-16,5128845,7664602,12465149,3062980,34455788,18506902,22475085,45347515,15507522,13087032,47369417,2236932,3831332,357602
2016-05-17,11977577,27728880,14106806,100000,17920866,15309041,55333866,33166302,14664066,22112726,40024410,632975,68168700,13307046
2016-05-18,7098330,23395135,8093882,6557931,43947890,10625697,46292299,27109973,27740099,11698072,45867936,15034404,42796041,8832398
2016-05-19,3339299,20126104,11607332,1047814,49643907,13345901,44943544,14761401,32746740,12333284,34934153,6202888,81159233,1237960
2016-05-20,10773932,15624113,5308463,3612551,23805890,9326550,10827489,23385372,419590,12331762,57955783,3860315,48344177,6629765
2016-05-23,4857150,28121290,8378760,6276747,13659848,12348333,15558535,36599502,20858087,5170939,27446206,5060643,75697246,9551171
2016-05-24,1301260,24109934,12626141,1154603,29605478,19659446,21687955,31570552,13085101,8193026,19357497,7513286,23942295,8864334
2016-05-25,6747102,5784245,9675263,5944341,40979695,2692877,25121439,9373922,32066630,17605593,64758733,1278041,55771061,14753890
2016-05-26,4513045,20114774,10201962,3076031,20863414,18731881,16340274,33632317,17344088,5854097,46934435,8626938,57332119,12184097
2016-05-27,11221216,11592686,12293160,6583984,36857784,12638525,66493777,37723046,9851117,21353696,30534033,7994043,33549035,9366356
2016-05-30,7075535,22357384,14974855,5698507,43430014,5273831,53548818,20062947,8711623,12095509,6869473,7332212,44225413,18769713
2016-05-31,4310258,20385875,12718840,2880657,46851945,11337874,70316052,39722773,14849437,30015514,28984269,9830494,40881111,20156262
2016-06-01,8439101,22493269,9470124,8744265,35718891,5649800,82282443,36012654,100000,3176287,100000,5384665,75377105,18516359
2016-06-02,5891197,26267183,8063023,9744456,4145727,11401405,55167739,100000,6483833,4446089,19690753,8857324,44891636,10700091
2016-06-03,6839447,8768924,8902816,3229998,25558769,9034737,29971665,48233964,4234100,3308239,28344256,1810521,50987942,12614147
2016-06-06,100000,21884667,2908284,5385241,26843739,14186424,68950839,18887396,100000,19628813,48815588,5724756,77710450,18785871
2016-06-07,2494863,32101520,9211062,6163256,31311374,6920939,16271077,43573545,20202501,2090894,36489445,8099388,63281385,16033152
2016-06-08,6562770,29198042,3473088,9093552,100000,10123624,35616722,6539346,20884471,25299307,20894728,3864475,54229269,8302133
2016-06-09,2112768,15223307,6603583,842748,18019747,14063936,43701351,37661994,22253386,23997590,58831304,8017822,26421687,11333389
2016-06-10,4134372,22957232,11169736,7071318,27258502,11099905,53900644,48409437,7137124,13046994,16908110,1647789,48682717,13810167
2016-06-13,8609324,13672004,6524414,3127287,36612385,12355835,78450038,4492292,18909810,15794836,100000,3843620,63146292,16051958
2016-06-14,7401665,27804111,13845137,4222629,63858760,16067326,27587179,47279867,15110008,7759161,53009412,1374271,93203368,15531331
2016-06-15,9314919,13669837,7958883,5764154,39875221,3580752,16017919,100000,7333413,28888256,28489976,9674695,100000,6575030
2016-06-16,5922102,5484383,13013327,6709900,15042747,19323525,87116681,34707159,12217692,16206702,50377177,3552850,40243230,11008595
2016-06-17,3875927,28443884,7000805,7632941,17532125,7713812,74138991,20666480,5065507,11158509,22657938,7059592,36307498,23195260
2016-06-20,10035681,40088073,7686405,2602760,19783762,6494625,123302584,9961809,1832294,27067619,22891694,4396556,30702867,13771326
2016-06-21,6019090,30795095,12806986,6403924,24121396,11102547,11421947,13657870,8790985,4949793,14480359,11692244,6955859,13942740
2016-06-22,2735468,33729133,7403404,7295565,33382295,7008181,53030445,24649570,10537853,23151366,40343462,10238919,72965343,14722175
2016-06-23,10688869,9625653,9644311,2851159,15839670,10417533,13272384,61809995,21687384,13394922,49476857,7913202,67656014,8845840
2016-06-24,6081708,31403636,6396871,3362514,26710890,7497545,89794907,26240447,9924325,30064057,54678755,13044747,65863268,20750164
2016-06-27,8763550,30996029,100000,4642340,27001588,9786831,3455524,30075204,23040769,15660364,64026614,6098781,44295974,12931955
2016-06-28,6752081,27065411,5698206,2895497,35063141,17919422,25730482,15117442,24027826,12098257,46452570,3569137,36803001,9970824
2016-06-29,8755600,6508585,14061168,4497434,23882258,18053612,56555157,7711750,16597743,10407185,18215785,10173957,25867372,13065198
2016-06-30,7779680,31746033,9485380,5193571,18503404,100000,52685121,21427822,11836579,11818611,60475011,2004477,60329674,26545641
2016-07-01,4992627,29203179,11752358,6198821,19433580,8512709,48342429,50865466,7579997,15133341,39671649,6915345,28421648,100000
2016-07-04,4814770,20094775,11898877,7989238,35871707,10292432,60394240,11327759,8579408,15014953,53134785,7774600,67090425,19897190
2016-07-05,7980304,16694727,11287217,3166778,19113453,7152981,75211115,64340551,20492515,23601339,29326430,8060175,23318881,6766809
2016-07-06,6222297,30696781,14601592,4230716,40480066,16325020,59803893,21308639,21655942,16268530,39456065,11114004,88295392,28210745
2016-07-07,5864651,7144499,6829388,6835687,35488017,1581172,39307840,52707939,12707199,11914982,39379494,13007415,47458918,7802571
2016-07-08,4607922,15293788,14154808,10973128,13657771,17960643,28775439,40635491,16531584,22207775,16637576,4402415,39056271,13604616
2016-07-11,5095179,39431474,10847172,5163956,48567577,17015307,56665467,31839847,3751523,14646185,3864780,7957458,36961037,16165697
2016-07-12,1443763,11072601,9932022,6144582,31189019,11804339,60350740,37050830,11061274,20698294,29132806,8298295,79869937,11999637
2016-07-13,7381379,38257689,100000,5816538,20002796,10112628,64147956,26639846,18215981,25677550,63790730,9076452,60319864,16113856
2016-07-14,4001701,16757519,9754571,4637978,57431722,14184162,41828556,10996546,10290694,14551818,31728611,8439493,101029338,13095214
2016-07-15,6203903,14489437,11849556,3807027,29812009,10176934,7003848,24231799,5894855,8724164,36749818,4379713,77143266,9130540
2016-07-18,5694105,30890698,9068527,7161388,35363237,6373732,64671420,24938075,8396053,14680091,35708737,5113561,28560376,11562369
2016-07-19,6463991,26275133,13201578,11337021,30225664,12340846,36590853,19293201,4163475,10132963,55123622,1546753,47835138,6257860
2016-07-20,5980685,41445956,13384381,7737034,51611494,15091036,53021419,35860142,7229184,7798406,15000811,3599430,53904478,7099713
2016-07-21,7223048,17400432,6990944,5369404,56692830,6048957,50988344,30731494,21439258,100000,51850202,3131200,54821136,16748349
2016-07-22,3299539,14605443,8567147,4493220,33873085,17293577,16126019,50867403,26144775,5573644,33448119,5889264,83549339,12248126
2016-07-25,5670410,22837448,7044755,6156595,31062597,17098591,48634811,43790051,28228063,18659030,36442095,10989892,41857455,15092375
2016-07-26,5966097,17706110,6410002,5482777,44007780,11928031,57620835,25968688,13743303,17624730,44854797,5708854,28794723,13468803
2016-07-27,3352250,30261010,8526479,4701637,22745438,10205031,69200768,26715752,14342666,4011517,35636234,11516395,65995674,7640577
2016-07-28,2995985,26951811,9075159,2963023,33699528,8666263,2878334,32175771,21099099,10892241,42173897,579561,62730394,6596344
2016-07-29,4211833,23546507,100000,6440866,20218566,8711414,11246570,35472754,5642942,16766581,25404113,5114276,35259105,20271064
2016-08-01,6396901,43365634,7963060,9815836,58372530,10726265,35275050,47359120,9137497,8077978,58678123,6530626,4965841,18760213
2016-08-02,2686152,100000,9767579,6095403,46277926,3638820,41523573,5699232,10030044,10663064,38915690,11431765,100186468,15750928
2016-08-03,8652533,17354422,8649690,2516971,56726434,2087540,8049488,28654020,25738143,12309945,55264803,9793185,85261828,9834366
2016-08-04,4082908,19568087,7835909,3672211,22632323,12884451,33223162,32695074,11503557,13105368,46869727,10415365,29003231,11027470
2016-08-05,5859690,31411808,4017062,11022378,43614571,100000,17381901,31928471,24520116,11401019,53798351,7297180,46441944,24247669
2016-08-08,7854551,27671297,2817416,3047768,36340730,11204646,20970715,15516766,9944758,11126410,53838822,6801787,49265846,25317565
2016-08-09,1544884,12315123,5961843,8380748,34575722,16733064,50364180,42803256,7200475,6890813,41621309,12408267,65212173,19833879
2016-08-10,9897287,8745503,762261,3064845,54818944,13457022,35255391,28432513,28288376,12271407,53911412,6323449,42911920,19729425
2016-08-11,3287541,13612519,7947620,3660032,16310062,7881146,19698281,17699444,16747228,16232982,44763565,6621538,39693113,26190832
2016-08-12,9788428,17905362,4703788,8486153,20911976,8122989,68096246,16574130,9961731,16295693,74020794,4463587,47035155,15335279
2016-08-15,7414504,35204386,8941863,6365085,21985622,7289053,30383579,10757429,2203655,14286170,39676041,9141735,26755062,13013081
2016-08-16,574006,26873875,5844563,5274907,8343711,19416661,82562242,13188912,10835065,5027745,44131922,5747218,73752750,11454489
2016-08-17,5436715,9655831,224118,3637828,116514,8378307,4051891,19698727,29309283,10147248,50944857,8312942,65390938,14976806
2016-08-18,3579248,16597557,4137304,8561335,27446313,6685523,65089561,26932828,12489758,14628125,27950816,6275048,25272036,9506169
2016-08-19,10709540,33073930,8879601,3576767,41155478,13351555,48350977,8835149,100000,18111278,53063352,9798050,58401003,10276911
2016-08-22,6499865,18981385,11289291,2393254,26651198,22070938,41714100,40043526,12135955,10114440,29565171,5525199,33985843,7380376
2016-08-23,182579,31620443,7012616,6600891,17731871,13907761,43456740,3323014,21399643,32088531,28834803,5914157,53437387,20036168
2016-08-24,9596103,24015908,9144978,3544165,48199941,11119405,48106953,21522885,13168594,26927203,28350918,8528735,100000,12170942
2016-08-25,7498705,27124669,7377934,4564718,12976070,8309031,52908300,28123189,19585429,100000,100000,9216049,43989233,15645945
2016-08-26,7104603,40275566,7245130,9162352,2270350,5435755,80662451,27230942,18407500,21196407,44668937,8728731,82610953,18598420
2016-08-29,5949804,19994179,4828079,790524,7144420,18255916,45538715,52925313,13319276,10858341,37654753,7860605,23329154,8555108
2016-08-30,1704861,10422212,7994179,4895641,53436351,15447110,79254138,35349811,9516602,12876232,38539063,7629145,41072658,21197799
2016-08-31,10533505,14231004,5632956,6553862,26946256,2265802,41530632,9648283,11175112,16245244,46295298,6167765,81398228,11943806
2016-09-01,5176552,20827641,13717410,5101906,49069276,12144409,51226120,31627470,11643302,6738462,36641805,12141344,92647665,4861025
2016-09-02,10116358,20705553,5380552,1675615,48287256,2518320,43482201,9770710,3135576,24389955,49997859,5673388,69100805,6969357
2016-09-05,5925073,14491273,8838284,3259722,1011695,15717696,6156805,46453257,18924176,10945519,25640225,8511249,88825629,6712076
2016-09-06,5322710,34597577,3792149,7438096,30921483,12408923,29457515,100000,10019779,10413318,15758626,8261563,79229082,31759880
2016-09-07,797782,21910023,7312717,6607286,41580351,7368357,87875192,21203566,23820003,13535625,32768353,1280908,7282136,11908525
2016-09-08,3800972,27315088,4020261,3094959,13868361,1080900,27984824,30236675,25143819,2592399,40242749,5646808,64016488,15157940
2016-09-09,9771494,5944900,5808670,10400561,10669156,19463361,68829013,8670522,12106108,14598973,42759559,11755449,55936711,7425993
2016-09-12,8003970,5656562,12083605,5805291,37539820,6970073,100000,42901545,15013719,1953390,42336018,8174390,24125476,21436509
2016-09-13,7426142,13869319,7938916,8183333,12056677,6570150,39294658,45847739,11172462,24751726,80555758,13210166,7404596,10981350
2016-09-14,7623162,28628199,11487992,3949046,34299137,243302,59790566,19097463,3529214,4113182,100000,5607353,70639211,5864323
2016-09-15,5892432,4478550,7266604,10057615,41286039,10206172,47823069,21379857,10835577,13499112,42622369,7571480,47036616,6391218
2016-09-16,4501473,9617927,11107054,2908487,43315701,11282693,58378101,14003628,15268635,211412,29673046,9292408,53350246,22350989
2016-09-19,3532158,1429459,11445804,8236755,42094843,100000,100000,35297093,19507934,7134902,49183527,4926632,65635311,3325131
2016-09-20,4535649,100000,11017333,100000,49213780,16973994,23892699,24408936,29115906,23848436,45361494,5438476,92781240,18931605
2016-09-21,6299078,25055419,11984729,8809478,14889119,13293300,33721237,9657240,10521152,13052285,32525945,2744678,33963983,7283753
2016-09-22,3614195,36146059,10104455,6011879,55310588,5906204,24170641,57192128,8665445,29932752,16886274,5645940,41073879,6992762
2016-09-23,5931984,27415619,6384945,4731087,22301588,12432633,46108296,52115373,22087942,4546650,27820191,7610714,41974288,13750894
2016-09-26,6114983,23826928,2371460,4502402,13791811,23225837,4492764,56775398,100000,13108155,31388625,13106891,33437342,6862657
2016-09-27,5347744,17502382,5030974,5391455,46109740,13002304,40789514,4427658,7637719,4931509,15418062,8918037,96261999,15594700
2016-09-28,1047442,23936993,9713360,328263,39303435,2152904,96982293,43750591,23861359,10585010,54968885,2108038,74427023,6756545
2016-09-29,2791211,19071061,12641560,4033085,4435685,7433520,40150605,32748215,8024214,11091918,61782304,7587318,66276622,19741018
2016-09-30,5406595,26816336,10109720,7801741,43097161,8994709,8766458,34159845,11150525,16058650,23442339,4180356,64429186,21446244
2016-10-03,100000,16348452,6857181,8481301,34250945,10935552,73987535,8477441,15221428,13077603,3668866,2665192,47379682,11628057
2016-10-04,8898707,25559470,6391977,2481723,30490158,13350253,34538742,13518918,20461183,10490639,26360062,10708903,100000,21596666
2016-10-05,9705855,1536164,8264001,8751829,22865047,19118167,10979179,18789098,14939991,18366071,9146110,6436500,103829974,6690719
2016-10-06,8387931,100000,10587887,1449300,49626091,15677371,44237918,28213840,14842600,18082692,48041634,4802248,42566437,8254426
2016-10-07,6712555,33159582,8268013,6730896,53733967,13470420,35625618,23151835,12630288,24026173,23646482,11416858,71608855,15589973
2016-10-10,2256076,12226146,6092192,5976866,39710792,28304403,52085499,27653079,13141051,3679690,7509687,3510002,75678427,16173300
2016-10-11,6784881,33871468,4674217,3907614,11277380,5030521,49828718,21385832,8845542,6277567,14385625,4688434,46989850,6229285
2016-10-12,10014873,26200843,5214653,9386946,11650684,8288983,61836862,15596007,7340667,27658463,11107563,12791518,103988202,13323422
2016-10-13,2550032,13851008,5299661,4466021,17605067,12967883,52985554,31672382,24885014,29160632,50399223,9859502,77982338,12277130
2016-10-14,13395620,21101237,7861905,9215076,44433775,16752293,104975911,29798737,10154821,18835795,22245572,8128434,32906741,15716840
2016-10-17,8287899,19192088,4836569,5737744,25140302,14236800,32285630,28901110,13642362,18346776,33789772,10889941,73354534,25163842
2016-10-18,2763193,31292520,5849548,4176851,39303279,8042750,15470636,40677314,22631226,13267038,38159510,6366362,80166661,11174556
2016-10-19,2911970,11048012,10907629,7996375,21077251,11975898,26019115,25474252,100000,16726292,16037579,2200306,50090582,10604271
2016-10-20,4396559,29266099,10506519,2510472,51000577,6347948,76916251,29807004,3800400,19029923,8431679,6849442,67106831,12055929
2016-10-21,5724403,12907486,15012419,6890400,12689516,11486382,7565574,29837571,15014498,26358138,32266963,2600963,46205830,5224419
2016-10-24,4775143,6758998,9506143,7845803,26668620,7503671,72516676,100000,15267068,18103457,59144801,8256427,39189340,21679649
2016-10-25,100000,7397045,2407267,2762794,26442314,12965955,101752707,40414412,3270033,11993621,26782216,13602183,54264630,21054674
2016-10-26,2052176,11241743,1865390,6198864,40272625,30199073,82945550,19995255,1165617,7889325,72225855,6715804,54338488,16839332
2016-10-27,5862486,11979012,8637891,7268482,35396948,2585368,38199021,36279208,3814950,3145063,29987088,6785178,44691704,13348728
2016-10-28,6441362,16285711,7927030,7747486,52212660,9545355,65408491,30695355,17505772,14362437,17303202,8777071,100000,11036052
2016-10-31,8536238,18381967,7107132,6186768,49444708,13085733,70885320,16997114,21205452,20943893,25959311,9824380,89890497,20364556
2016-11-01,3924336,14230208,3327422,7568288,19495591,7287682,38441718,35816532,16678940,23335945,100000,12655231,83140804,5727089
2016-11-02,6322712,16388257,4218160,7418959,30647696,9575549,22263783,11469307,1394334,25453862,45124518,9140623,29960370,15904524
2016-11-03,5910324,35079212,12490995,4649974,29877198,5517541,47510723,30127063,5475868,17647888,31077577,14643150,43334500,18245555
2016-11-04,3421248,15481790,12265561,3916518,21882765,15627692,70922975,23124179,13656330,9366080,22431941,5590898,26050644,14615454
